rank,product_name,price_czk,specs
1,"HelloComp AMD GAMER SE 5700 XT",18490,"Ryzen 5 5500 / 16GB / 500GB NVMe / RX 5700 XT 8GB"
2,"HelloComp AMD GAMER MAX DDR5 9070 XT",49990,"Ryzen 7 7700X / 32GB / 1TB NVMe / RX 9070 XT 16GB"
3,"HelloComp AMD GAMER SE 3060 Ti",19490,"Ryzen 5 5500 / 16GB / 500GB NVMe / RTX 3060 Ti 8GB"
4,"HelloComp Intel GAMER SE8 580",13990,"Core i5-8400 / 16GB / 500GB NVMe / RX 580 4GB"
5,"HelloComp Intel GAMER SE6 6400",11990,"Core i5-6400 / 16GB / 128GB SSD / RX 6400 4GB"
6,"HelloComp AMD GAMER 6700 XT",25490,"Ryzen 5 5600 / 16GB / 1TB NVMe / RX 6700 XT 12GB"
7,"HelloComp Intel GAMER SE6 580",10490,"Core i5-6400 / 16GB / 128GB SSD / RX 580 4GB"
8,"HelloComp AMD GAMER MAX DDR5 7800 XT",45990,"Ryzen 7 7700X / 32GB / 1TB NVMe / RX 7800 XT 16GB"
9,"HelloComp AMD GAMER SE 5060",22990,"Ryzen 5 5500 / 16GB / 500GB NVMe / RTX 5060 8GB"
10,"HelloComp AMD GAMER Individual Extreme 9070 XT",73990,"Ryzen 7 9800X3D / 32GB / 2TB NVMe / RX 9070 XT 16GB"
11,"HelloComp AMD GAMER Individual 3060 Ti",23990,"Ryzen 5 5500 / 16GB / 1TB NVMe / RTX 3060 Ti 8GB"
12,"HelloComp Intel GAMER Individual Ultra5 9060 XT White",43990,"Core Ultra 5-245K / 32GB / 1TB NVMe / RX 9060 XT 16GB"
13,"HelloComp AMD GAMER Individual 5050",24990,"Ryzen 5 5500 / 16GB / 1TB NVMe / RTX 5050 8GB"
14,"HelloComp AMD GAMER Individual Pro DDR5 5060",33990,"Ryzen 5 7500F / 32GB / 1TB NVMe / RTX 5060 8GB"
15,"HelloComp AMD GAMER Individual Pro DDR5 5060 White",37990,"Ryzen 5 7500F / 32GB / 1TB NVMe / RTX 5060 8GB"
16,"HelloComp AMD GAMER SE 1660 Super",15990,"Ryzen 5 5500 / 16GB / 500GB NVMe / GTX 1660 Super 6GB"
17,"HelloComp Intel GAMER SE8 1660 Super",14990,"Core i5-8400 / 16GB / 500GB NVMe / GTX 1660 Super 6GB"
18,"HelloComp Intel GAMER Individual Pro DDR5 5070",45990,"Core i5-14600KF / 32GB / 1TB NVMe / RTX 5070 12GB"
19,"HelloComp Intel GAMER Individual Ultra5 5060 Ti",47990,"Core Ultra 5-245K / 32GB / 1TB NVMe / RTX 5060 Ti 16GB"
20,"HelloComp Intel GAMER Individual Pro DDR5 5060 Ti",44990,"Core i5-14600KF / 32GB / 1TB NVMe / RTX 5060 Ti 16GB"
