code;pairCode;name;xmlFeedName;
"052637";;"Koorui GN06 27"" 165Hz";"";
"054147";;"Motospeed SK62 White";"Motospeed SK62 Red bílá";
"055082";;"SVEN KB-C7150EL";"SVEN KB-C7150EL";
"052640";;"Koorui 24E4 23.8"" 165Hz";"";
"052642";;"Koorui 25E3A 24.5"" 170Hz";"Koorui 25E3A";
"042131";;"darkFlash Gaming Mouse Pad";"";
"037920";;"Motospeed P70";"";
"037919";;"Motospeed V18 (Black)";"";
"053497";;"darkFlash DK352 Plus (White)";"Darkflash DK352 Plus white";
"042128";;"darkFlash DC240 ARGB 2x 120x120 (Black)";"Darkflash DC240 ARGB 2x 120x120 černá";
"042068";;"darkFlash DC240 ARGB 2x 120x120 (White)";"PC VODNÍ CHLAZENÍ DC240 ARGB 2X 120X120 (BÍLÉ)";
"041314";;"darkFlash A290 (White)";"";
"036054";;"darkFlash A290 (Black)";"Darkflash A290 black";
"037670";;"Havit MP843";"";
"033820";;"Havit KB870L RGB (Black)";"Havit KB870L";
"033951";;"darkFlash DK352 Plus (Black)";"Darkflash DK352 Plus black";
"033574";;"Havit MS1028 RGB";"Havit Gamenote MS1028";
"033573";;"Havit MS961 RGB (White)";"Havit Gamenote MS961";
"033248";;"darkFlash DK151 LED (Black)";"Darkflash DK151 black";
"032549";;"DAREU EM901X w Charging Dock (Black)";"Dareu EM901X";
"030829";;"Havit GAMENOTE MS1001S RGB";"Havit Gamenote MS1001S";
"029395";;"Dareu EM907 RGB";"";
"029676";;"Motospeed CK61 RGB (Black)";"Motospeed CK61 Outemu Blue";
"026474";;"Havit KB866L RGB";"Havit Gamenote KB866L KB866L-BC-RD";
"025981";;"Motospeed K24";"Motospeed K24";
"135";;"ASUS TUF Gaming P1";"";
"ASUSROGGLADIICORE";;"ASUS ROG Gladius II Core Black";"";
"018580";;"Havit GAMENOTE MP861";"";
"P2720DC";;"Dell P2720DC 27"" Professional";"Dell P2720DC";
"P2722HE";;"Dell P2722HE 27"" Professional";"Dell P2722HE";
"P2719H";;"Dell P2719H 27"" Professional";"Dell P2722HE";
"P2213T";;"Dell P2213t 22"" Professional";"";
