id;product_name;hook;price;specs;image_url;image_alt;focal_point;overlay_style;badge_stock;positioning_claim;cta;legal_line;template
7430;GAMEMAX GAMER  i7-11700 / 64GB / 2TB / RTX 3080 10GB;Absolutní monstrum;20 990 Kč;Core i7-11700 / PALiT GeForce RTX 3080 10GB / 64GB DDR4;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/7430_7430-gamemax-gamer-i7-11700-64gb-2tb-rtx-3080-10gb.png?69091352;HelloComp GAMER Max GAMEMAX GAMER  i7-11700 / 64GB / 2TB / RTX 3080 10GB;center;default;Skladem;Prémiové herní sestavy;OBJEDNEJTE TEĎ;Ilustrační foto. Konfigurace se může lišit.;hero
12200;Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX OC 16GB;Bez kompromisů;16 290 Kč;N/A / N/A / N/A;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/12200-2_egr56t16w4.jpg?698ce688;HelloComp GAMER Max Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX OC 16GB;center;soft;Skladem;Prémiové herní sestavy;KOUPIT;Ilustrační foto. Konfigurace se může lišit.;split
8723;GAMEMAX GAMER  i3-10100F / 16GB / 1.5TB / RX 5700 XT 8GB;Ultimátní výkon;10 990 Kč;Core i3-10100F / XFX Radeon RX 5700 XT 8GB THICC III / 16GB DDR4;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/8723_8723-gamemax-gamer-i3-10100f-16gb-1-5tb-rx-5700-xt-8gb.png?69091353;HelloComp GAMER Max GAMEMAX GAMER  i3-10100F / 16GB / 1.5TB / RX 5700 XT 8GB;center;dark;Skladem;Prémiové herní sestavy;DO KOŠÍKU;Ilustrační foto. Konfigurace se může lišit.;minimal
6791;GameMax GAMER R7 2700X / 32GB / 1TB / RX 6600 XT 8GB;Pro ty nejnáročnější;10 990 Kč;Ryzen 7 2700X / XFX Speedster QICK 308 RX 6600 XT 8GB / 32GB DDR4;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/6791_6791-gamemax-gamer-r7-2700x-32gb-1tb-rx-6600-xt-8gb.png?69091352;HelloComp GAMER Max GameMax GAMER R7 2700X / 32GB / 1TB / RX 6600 XT 8GB;center;default;Skladem;Prémiové herní sestavy;ZJISTIT VÍCE;Ilustrační foto. Konfigurace se může lišit.;neon
5894;GameMax GAMER R5 5500 / 16GB / 2TB / RTX 2060 6GB;Maximální síla;10 490 Kč;Ryzen 5 5500 / RTX 2060 6GB / 16GB DDR4;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/5894_5894-gamemax-gamer-r5-5500-16gb-2tb-rtx-2060-6gb.png?69091351;HelloComp GAMER Max GameMax GAMER R5 5500 / 16GB / 2TB / RTX 2060 6GB;center;soft;Skladem;Prémiové herní sestavy;OBJEDNAT;Ilustrační foto. Konfigurace se může lišit.;specs-focus
5975;ASUS ProArt GeForce RTX 4080 SUPER 16G;Profi výkon za skvělou cenu;34 990 Kč;N/A / N/A / N/A;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/5975-1_ecr4080sp2.jpg?6960a6dd;HelloComp GAMER Pro ASUS ProArt GeForce RTX 4080 SUPER 16G;center;dark;Skladem;Profesionální herní sestavy;OBJEDNEJTE TEĎ;Ilustrační foto. Konfigurace se může lišit.;hero
5570;HAL3000 MČR Finale Pro RTX 4070 (13.gen);Stvořen pro výkon;27 990 Kč;Core i5-13400F / N/A / N/A;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/5570-1_5570-1-hal3000-mcr-finale-pro-rtx-4070-13-gen.png?69091350;HelloComp GAMER Pro HAL3000 MČR Finale Pro RTX 4070 (13.gen);center;default;Skladem;Profesionální herní sestavy;KOUPIT;Ilustrační foto. Konfigurace se může lišit.;split
5018;PALiT GeForce RTX 3090 GamingPro OC 24GB;Výkon nové generace;19 990 Kč;N/A / N/A / N/A;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/5018_gamingpro3090.jpg?680410f5;HelloComp GAMER Pro PALiT GeForce RTX 3090 GamingPro OC 24GB;center;soft;Skladem;Profesionální herní sestavy;DO KOŠÍKU;Ilustrační foto. Konfigurace se může lišit.;minimal
6785;HAL3000 MEGA GAMER Pro RTX 4060 (12.gen);Pro opravdové hráče;16 990 Kč;Core i5-12400F / N/A / N/A;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/6785_6785-hal3000-mega-gamer-pro-rtx-4060-12-gen.png?69091352;HelloComp GAMER Pro HAL3000 MEGA GAMER Pro RTX 4060 (12.gen);center;dark;Skladem;Profesionální herní sestavy;ZJISTIT VÍCE;Ilustrační foto. Konfigurace se může lišit.;neon
12266;PROGAMING GAMER i5-6600K / 24GB / 756GB / GTX 1070 Ti 8GB;Nekompromisní gameplay;12 990 Kč;Core i5-6600K / GTX 1070 Ti 8GB / 24GB DDR4;https://cdn.myshoptet.com/usr/www.hellocomp.cz/user/shop/orig/12266_progaming-gamer-i5-6600k-24gb-756gb-gtx-1070-ti-8gb.png?698e1301;HelloComp GAMER Pro PROGAMING GAMER i5-6600K / 24GB / 756GB / GTX 1070 Ti 8GB;center;default;Skladem;Profesionální herní sestavy;OBJEDNAT;Ilustrační foto. Konfigurace se může lišit.;specs-focus
